N <- 250
63884, 36, 240, Occidente
14852, 33, 129, Sur
56429, 137, 2, Centro
70461, 219, 132, Centro
38875, 218, 19, Sur
37174, 215, 249, Occidente
19078, 88, 109, Sur
16150, 243, 106, Oriente
30284, 137, 41, Sur
13550, 127, 36, Centro
64719, 90, 201, Occidente
68337, 157, 163, Norte
39147, 35, 189, Occidente
67273, 207, 139, Oriente
95759, 22, 237, Oriente
90459, 184, 11, Occidente
17372, 101, 243, Oriente
72005, 108, 81, Norte
61426, 233, 56, Centro
36076, 154, 128, Occidente
69727, 145, 224, Oriente
23876, 151, 53, Centro
12390, 213, 115, Oriente
20666, 11, 157, Occidente
68188, 146, 106, Sur
40065, 242, 150, Oriente
90613, 213, 229, Centro
95127, 48, 186, Occidente
59278, 143, 109, Occidente
33374, 7, 123, Sur
52499, 109, 65, Sur
92404, 40, 57, Centro
41739, 203, 66, Sur
93661, 222, 123, Occidente
25899, 187, 100, Norte
28644, 192, 21, Oriente
81693, 97, 70, Oriente
79577, 205, 98, Occidente
22223, 24, 54, Norte
19291, 225, 179, Oriente
94152, 168, 96, Norte
11647, 90, 227, Occidente
66456, 85, 240, Norte
34414, 81, 89, Occidente
14150, 91, 197, Sur
74794, 70, 105, Norte
59129, 10, 188, Norte
12115, 226, 122, Centro
62814, 26, 231, Oriente
56505, 159, 175, Norte
54792, 119, 172, Sur
35635, 30, 36, Centro
20775, 90, 67, Sur
62438, 229, 191, Centro
51664, 247, 172, Norte
60533, 248, 2, Occidente
33528, 88, 195, Centro
71413, 35, 6, Occidente
84832, 175, 231, Sur
85696, 99, 139, Sur
44675, 62, 33, Norte
49628, 88, 242, Norte
17177, 50, 26, Occidente
74703, 191, 2, Oriente
23178, 202, 68, Oriente
67281, 210, 69, Centro
10101, 187, 109, Oriente
40468, 182, 28, Norte
23391, 49, 249, Occidente
74446, 73, 193, Oriente
29271, 177, 49, Sur
76757, 159, 201, Occidente
38498, 173, 202, Occidente
35717, 119, 149, Centro
18878, 168, 190, Occidente
40856, 185, 226, Oriente
83147, 186, 154, Sur
10198, 126, 2, Norte
83910, 46, 56, Oriente
98001, 33, 244, Centro
22129, 142, 55, Occidente
10604, 15, 4, Sur
35665, 167, 22, Occidente
30469, 202, 187, Centro
54060, 228, 102, Centro
81879, 35, 234, Centro
55041, 46, 123, Norte
49674, 1, 94, Sur
71999, 197, 0, Sur
23969, 64, 217, Norte
43099, 141, 89, Norte
29743, 78, 206, Norte
37355, 179, 30, Oriente
77730, 30, 145, Occidente
25040, 9, 180, Sur
22294, 184, 176, Occidente
23526, 71, 213, Occidente
41287, 38, 96, Centro
31298, 173, 84, Sur
85949, 21, 69, Occidente
67950, 103, 10, Sur
86673, 170, 89, Centro
78859, 157, 110, Oriente
38846, 29, 163, Oriente
28412, 247, 250, Oriente
22809, 11, 199, Oriente
69640, 33, 10, Sur
21693, 11, 71, Sur
85224, 234, 22, Sur
